LAMMPS data file via write_data, version 15 May 2015, timestep = 2050000

2500 atoms
2 atom types

0.0000000000000000e+00 7.9056941504209490e+01 xlo xhi
0.0000000000000000e+00 7.9056941504209490e+01 ylo yhi
0.0000000000000000e+00 1.5811388300841898e+00 zlo zhi

Masses

1 1

Atoms # atomic

227 2 4.5281756551409842e+00 7.5894796593291014e-01 0.0000000000000000e+00 0 0 0 
1477 2 5.5095163664051165e+00 7.5197636773012433e-01 0.0000000000000000e+00 1 1 0 
638 2 6.5069207452071822e+00 7.3467277272471010e-01 0.0000000000000000e+00 1 1 0 
720 2 7.4806131175544488e+00 7.2117337999172115e-01 0.0000000000000000e+00 0 1 0 
2065 2 8.4668390746009674e+00 7.1082026597354264e-01 0.0000000000000000e+00 2 1 0 
713 2 9.4478707063852383e+00 6.8787296463778358e-01 0.0000000000000000e+00 0 1 0 
1279 2 1.0419184255708199e+01 6.8395431941645990e-01 0.0000000000000000e+00 0 0 0 
2269 2 1.1409489248810806e+01 6.8739758960918329e-01 0.0000000000000000e+00 1 2 0 
1180 2 1.2377010923874369e+01 6.6829890031551886e-01 0.0000000000000000e+00 0 0 0 
403 2 1.3371708356438782e+01 6.8637262215657624e-01 0.0000000000000000e+00 0 0 0 
1634 2 1.4356728804676955e+01 6.6845858371036893e-01 0.0000000000000000e+00 1 1 0 
660 2 1.5339760042844922e+01 6.5993173454752396e-01 0.0000000000000000e+00 -1 1 0 
1616 2 1.6307258380981587e+01 6.5320480945205217e-01 0.0000000000000000e+00 0 0 0 
1345 2 1.7287938635947874e+01 6.2931511993205091e-01 0.0000000000000000e+00 1 1 0 
840 2 1.8251997694431736e+01 6.3111485455919292e-01 0.0000000000000000e+00 0 1 0 
287 2 1.9240217569146505e+01 6.1935585041904651e-01 0.0000000000000000e+00 0 1 0 
405 2 2.0218421870322615e+01 6.4663375597219153e-01 0.0000000000000000e+00 0 1 0 
271 2 2.1204712546836824e+01 6.1911032998613125e-01 0.0000000000000000e+00 0 0 0 
2180 2 2.2203251515486976e+01 5.9280129371231616e-01 0.0000000000000000e+00 0 0 0 
1913 2 2.3176144202378797e+01 5.9463736302630221e-01 0.0000000000000000e+00 1 1 0 
1612 2 2.4135919826475885e+01 5.7262498047641808e-01 0.0000000000000000e+00 1 2 0 
1299 2 2.5102827155540396e+01 5.5544819573069937e-01 0.0000000000000000e+00 0 0 0 
1952 2 2.6088567942345421e+01 5.5330293458076096e-01 0.0000000000000000e+00 0 0 0 
85 2 4.0185403833827777e+00 1.5947338281149179e+00 0.0000000000000000e+00 0 1 0 
1575 2 5.0309957440629187e+00 1.5986732899037741e+00 0.0000000000000000e+00 1 2 0 
1920 2 6.0189391856240730e+00 1.5879514397565728e+00 0.0000000000000000e+00 -1 2 0 
1198 2 6.9994210297250916e+00 1.5735256976549101e+00 0.0000000000000000e+00 0 0 0 
1507 2 7.9831366704288911e+00 1.5542295556523553e+00 0.0000000000000000e+00 1 0 0 
218 2 8.9639491425260793e+00 1.5370893932796370e+00 0.0000000000000000e+00 0 1 0 
1534 2 8.4940653287600583e+00 2.3976152600949581e+00 0.0000000000000000e+00 1 1 0 
2003 2 9.4651898999933035e+00 2.3924251897042974e+00 0.0000000000000000e+00 1 0 0 
